Date,Forecast,Real,Error,Alarma Signo,Alarma Error
2019-06-01,1170.678190218649,1332.97505257175,162.296862353101,,OK
2019-07-01,1147.4305474097694,1370.134600208782,222.70405279901274,,OK
2019-08-01,1148.0300969211582,1363.3489035915,215.31880667034167,,OK
2019-09-01,1168.3865343222155,1413.1806340767835,244.7940997545679,Alarma,OK
